DEVELOPMENT,TDS #,BUILDING #,BOROUGH,HOUSE #,STREET,ADDRESS,CITY,STATE,ZIP CODE,BIN,BLOCK,LOT,BOROUGH/BLOCK/LOT #,CENSUS TRACT (2010),NEIGHBORHOOD TABULATION AREA CODE,NEIGHBORHOOD TABULATION AREA NAME,COMMUNITY DISTRICT,CITY COUNCIL DISTRICT,STATE ASSEMBLY DISTRICT,STATE SENATE DISTRICT,US CONGRESSIONAL DISTRICT,LATITUDE,LONGITUDE
THROGGS NECK,63,2,BRONX,2745,SAMPSON AVENUE,2745 SAMPSON AVENUE,BRONX,NY,10465,2093889,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8190764520973,-73.8239277752027
THROGGS NECK,63,3,BRONX,2751,SAMPSON AVENUE,2751 SAMPSON AVENUE,BRONX,NY,10465,2093890,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8191137674383,-73.8234257905511
THROGGS NECK,63,3,BRONX,2755,SAMPSON AVENUE,2755 SAMPSON AVENUE,BRONX,NY,10465,2093890,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8192382617145,-73.823352561858
THROGGS NECK,63,4,BRONX,2761,SAMPSON AVENUE,2761 SAMPSON AVENUE,BRONX,NY,10465,2093891,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8192451621089,-73.8229151165629
THROGGS NECK,63,4,BRONX,2765,SAMPSON AVENUE,2765 SAMPSON AVENUE,BRONX,NY,10465,2093891,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8193835011611,-73.8228418499122
THROGGS NECK,63,5,BRONX,2775,SAMPSON AVENUE,2775 SAMPSON AVENUE,BRONX,NY,10465,2093892,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8193209321401,-73.822315334025
THROGGS NECK,63,5,BRONX,2777,SAMPSON AVENUE,2777 SAMPSON AVENUE,BRONX,NY,10465,2093892,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.819537988489,-73.8224119527292
THROGGS NECK,63,6,BRONX,2785,SAMPSON AVENUE,2785 SAMPSON AVENUE,BRONX,NY,10465,2093893,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8194069377814,-73.8221173181702
THROGGS NECK,63,6,BRONX,2787,SAMPSON AVENUE,2787 SAMPSON AVENUE,BRONX,NY,10465,2093893,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8196009097559,-73.8222079231288
THROGGS NECK,63,7,BRONX,2730,DEWEY AVENUE,2730 DEWEY AVENUE,BRONX,NY,10465,2093883,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8196599067114,-73.8245464546747
THROGGS NECK,63,7,BRONX,2732,DEWEY AVENUE,2732 DEWEY AVENUE,BRONX,NY,10465,2093883,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8198908256581,-73.8246551944601
THROGGS NECK,63,7,BRONX,2734,DEWEY AVENUE,2734 DEWEY AVENUE,BRONX,NY,10465,2093883,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8200709606544,-73.8247519188498
THROGGS NECK,63,8,BRONX,2742,DEWEY AVENUE,2742 DEWEY AVENUE,BRONX,NY,10465,2093885,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8199567112563,-73.8244585452034
THROGGS NECK,63,8,BRONX,2744,DEWEY AVENUE,2744 DEWEY AVENUE,BRONX,NY,10465,2093885,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8201506906169,-73.8245552326573
THROGGS NECK,63,9,BRONX,2760,DEWEY AVENUE,2760 DEWEY AVENUE,BRONX,NY,10465,2093886,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8200930996771,-73.8239475619894
THROGGS NECK,63,9,BRONX,2762,DEWEY AVENUE,2762 DEWEY AVENUE,BRONX,NY,10465,2093886,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8202870794617,-73.824044248152
THROGGS NECK,63,10,BRONX,2770,DEWEY AVENUE,2770 DEWEY AVENUE,BRONX,NY,10465,2093887,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8203133600532,-73.8234536544474
THROGGS NECK,63,10,BRONX,2774,DEWEY AVENUE,2774 DEWEY AVENUE,BRONX,NY,10465,2093887,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8204470657786,-73.8233682500902
THROGGS NECK,63,11,BRONX,2786,DEWEY AVENUE,2786 DEWEY AVENUE,BRONX,NY,10465,2093888,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8205282663391,-73.8228739352771
THROGGS NECK,63,11,BRONX,471,SWINTON AVENUE,471 SWINTON AVENUE,BRONX,NY,10465,2093888,5582,1,2055820001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8206435021605,-73.8227825036715
THROGGS NECK,63,12,BRONX,2773,DEWEY AVENUE,2773 DEWEY AVENUE,BRONX,NY,10465,2091480,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8210835927575,-73.823867517776
THROGGS NECK,63,12,BRONX,2775,DEWEY AVENUE,2775 DEWEY AVENUE,BRONX,NY,10465,2091480,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8212729491707,-73.8239581423254
THROGGS NECK,63,12,BRONX,2777,DEWEY AVENUE,2777 DEWEY AVENUE,BRONX,NY,10465,2091480,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8214853992101,-73.8240608564664
THROGGS NECK,63,13,BRONX,2791,DEWEY AVENUE,2791 DEWEY AVENUE,BRONX,NY,10465,2091479,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8211900035622,-73.8233464681322
THROGGS NECK,63,13,BRONX,2793,DEWEY AVENUE,2793 DEWEY AVENUE,BRONX,NY,10465,2091479,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8214163178504,-73.8234612935355
THROGGS NECK,63,13,BRONX,2795,DEWEY AVENUE,2795 DEWEY AVENUE,BRONX,NY,10465,2091479,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8216287590318,-73.8235579312542
THROGGS NECK,63,14,BRONX,2801,DEWEY AVENUE,2801 DEWEY AVENUE,BRONX,NY,10465,2091478,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8215003674676,-73.8230787062325
THROGGS NECK,63,14,BRONX,2805,DEWEY AVENUE,2805 DEWEY AVENUE,BRONX,NY,10465,2091478,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8216340822144,-73.822999374656
THROGGS NECK,63,15,BRONX,2815,DEWEY AVENUE,2815 DEWEY AVENUE,BRONX,NY,10465,2091477,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8216849623321,-73.8224875119142
THROGGS NECK,63,15,BRONX,2821,DEWEY AVENUE,2821 DEWEY AVENUE,BRONX,NY,10465,2091477,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8218325404776,-73.8224202921319
THROGGS NECK,63,16,BRONX,2829,DEWEY AVENUE,2829 DEWEY AVENUE,BRONX,NY,10465,2091476,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.82170759115,-73.8219468053524
THROGGS NECK,63,16,BRONX,2831,DEWEY AVENUE,2831 DEWEY AVENUE,BRONX,NY,10465,2091476,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8219200420653,-73.8220495137452
THROGGS NECK,63,17,BRONX,505,CALHOUN AVENUE,505 CALHOUN AVENUE,BRONX,NY,10465,2091475,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8218574765895,-73.8214467368601
THROGGS NECK,63,17,BRONX,515,CALHOUN AVENUE,515 CALHOUN AVENUE,BRONX,NY,10465,2091475,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.822065312913,-73.8215494562636
THROGGS NECK,63,18,BRONX,545,CALHOUN AVENUE,545 CALHOUN AVENUE,BRONX,NY,10465,2091474,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8225455985887,-73.8222378483706
THROGGS NECK,63,18,BRONX,555,CALHOUN AVENUE,555 CALHOUN AVENUE,BRONX,NY,10465,2091474,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8226608432373,-73.8221524880429
THROGGS NECK,63,19,BRONX,2776,SCHLEY AVENUE,2776 SCHLEY AVENUE,BRONX,NY,10465,2091468,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8221041820401,-73.8245072505526
THROGGS NECK,63,19,BRONX,2778,SCHLEY AVENUE,2778 SCHLEY AVENUE,BRONX,NY,10465,2091468,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8222981529509,-73.8245978661478
THROGGS NECK,63,19,BRONX,2780,SCHLEY AVENUE,2780 SCHLEY AVENUE,BRONX,NY,10465,2091468,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8225059965878,-73.8247066712088
THROGGS NECK,63,20,BRONX,2790,SCHLEY AVENUE,2790 SCHLEY AVENUE,BRONX,NY,10465,2091469,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8225007960314,-73.8241281742583
THROGGS NECK,63,20,BRONX,2794,SCHLEY AVENUE,2794 SCHLEY AVENUE,BRONX,NY,10465,2091469,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8226993906194,-73.8242248522553
THROGGS NECK,63,21,BRONX,2800,SCHLEY AVENUE,2800 SCHLEY AVENUE,BRONX,NY,10465,2091471,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8224369094329,-73.8238645296232
THROGGS NECK,63,21,BRONX,2802,SCHLEY AVENUE,2802 SCHLEY AVENUE,BRONX,NY,10465,2091471,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8226216322236,-73.8239430179207
THROGGS NECK,63,21,BRONX,2804,SCHLEY AVENUE,2804 SCHLEY AVENUE,BRONX,NY,10465,2091471,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8228433215628,-73.8240517848572
THROGGS NECK,63,22,BRONX,2816,SCHLEY AVENUE,2816 SCHLEY AVENUE,BRONX,NY,10465,2091472,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8228646164759,-73.8234566913855
THROGGS NECK,63,22,BRONX,2822,SCHLEY AVENUE,2822 SCHLEY AVENUE,BRONX,NY,10465,2091472,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8229891106945,-73.8233834586225
THROGGS NECK,63,23,BRONX,2830,SCHLEY AVENUE,2830 SCHLEY AVENUE,BRONX,NY,10465,2091473,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8231489150425,-73.822884577137
THROGGS NECK,63,23,BRONX,595,CALHOUN AVENUE,595 CALHOUN AVENUE,BRONX,NY,10465,2091473,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8232826296193,-73.8228052432053
THROGGS NECK,63,24,BRONX,2777,SCHLEY AVENUE,2777 SCHLEY AVENUE,BRONX,NY,10465,2091484,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8227565801817,-73.8254941196188
THROGGS NECK,63,24,BRONX,2779,SCHLEY AVENUE,2779 SCHLEY AVENUE,BRONX,NY,10465,2091484,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.822959788648,-73.8255907899679
THROGGS NECK,63,25,BRONX,2787,SCHLEY AVENUE,2787 SCHLEY AVENUE,BRONX,NY,10465,2091485,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8229441080652,-73.8250069692113
THROGGS NECK,63,25,BRONX,2789,SCHLEY AVENUE,2789 SCHLEY AVENUE,BRONX,NY,10465,2091485,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8231473261479,-73.8251097135411
THROGGS NECK,63,26,BRONX,2801,SCHLEY AVENUE,2801 SCHLEY AVENUE,BRONX,NY,10465,2091486,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8232801511094,-73.8246902931342
THROGGS NECK,63,26,BRONX,2805,SCHLEY AVENUE,2805 SCHLEY AVENUE,BRONX,NY,10465,2091486,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8234092426537,-73.8246048996185
THROGGS NECK,63,27,BRONX,2815,SCHLEY AVENUE,2815 SCHLEY AVENUE,BRONX,NY,10465,2091487,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8235713941755,-73.8241087773027
THROGGS NECK,63,27,BRONX,2819,SCHLEY AVENUE,2819 SCHLEY AVENUE,BRONX,NY,10465,2091487,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8236958795229,-73.8240294697358
THROGGS NECK,63,28,BRONX,2780,RANDALL AVENUE,2780 RANDALL AVENUE,BRONX,NY,10465,2091482,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8236017000365,-73.8257348082924
THROGGS NECK,63,28,BRONX,2784,RANDALL AVENUE,2784 RANDALL AVENUE,BRONX,NY,10465,2091482,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8238095416552,-73.8258436190384
THROGGS NECK,63,29,BRONX,2790,RANDALL AVENUE,2790 RANDALL AVENUE,BRONX,NY,10465,2091483,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8239536887893,-73.8252757310887
THROGGS NECK,63,29,BRONX,2798,RANDALL AVENUE,2798 RANDALL AVENUE,BRONX,NY,10465,2091483,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8237135966812,-73.8252034582459
THROGGS NECK ADDITION,193,30,BRONX,680,BALCOM AVENUE,680 BALCOM AVENUE,BRONX,NY,10465,2091488,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8230149514342,-73.8271319393004
THROGGS NECK ADDITION,193,31,BRONX,2745,SCHLEY AVENUE,2745 SCHLEY AVENUE,BRONX,NY,10465,2091481,5567,1,2055670001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8225543546881,-73.8262103365069
THROGGS NECK ADDITION,193,32,BRONX,560,BALCOM AVENUE,560 BALCOM AVENUE,BRONX,NY,10465,2091470,5564,1,2055640001,3001,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8216061515565,-73.825792768224
THROGGS NECK ADDITION,193,33,BRONX,2755,DEWEY AVENUE,2755 DEWEY AVENUE,BRONX,NY,10465,2091467,5564,1,2055640001,144,BX52,Schuylerville-Throgs Neck-Edgewater Park,10,13,82,34,14,40.8209246070959,-73.8250445764117
TILDEN,96,1,BROOKLYN,300,DUMONT AVENUE,300 DUMONT AVENUE,BROOKLYN,NY,11212,3326542,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6639266987474,-73.9084238509814
TILDEN,96,2,BROOKLYN,330,DUMONT AVENUE,330 DUMONT AVENUE,BROOKLYN,NY,11212,3326543,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6641112029129,-73.9077016379902
TILDEN,96,3,BROOKLYN,340,DUMONT AVENUE,340 DUMONT AVENUE,BROOKLYN,NY,11212,3326544,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6642038657043,-73.9070458209961
TILDEN,96,4,BROOKLYN,360,DUMONT AVENUE,360 DUMONT AVENUE,BROOKLYN,NY,11212,3326545,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6642436086875,-73.9062883529979
TILDEN,96,5,BROOKLYN,265,LIVONIA AVENUE,265 LIVONIA AVENUE,BROOKLYN,NY,11212,3326546,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6631014463243,-73.9082835789706
TILDEN,96,6,BROOKLYN,275,LIVONIA AVENUE,275 LIVONIA AVENUE,BROOKLYN,NY,11212,3326547,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6631861788548,-73.9076916693779
TILDEN,96,7,BROOKLYN,305,LIVONIA AVENUE,305 LIVONIA AVENUE,BROOKLYN,NY,11212,3326548,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6633516745596,-73.9065968429765
TILDEN,96,8,BROOKLYN,315,LIVONIA AVENUE,315 LIVONIA AVENUE,BROOKLYN,NY,11212,3326549,3576,1,3035760001,912,BK81,Brownsville,16,41,55,20,9,40.6634366370971,-73.9060049925433
TODT HILL,42,1,STATEN ISLAND,773,MANOR ROAD,773 MANOR ROAD,STATEN ISLAND,NY,10314,5110030,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6078749536613,-74.1199594003408
TODT HILL,42,1,STATEN ISLAND,761,MANOR ROAD,761 MANOR ROAD,STATEN ISLAND,NY,10314,5110030,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6081252772427,-74.1202567386983
TODT HILL,42,2,STATEN ISLAND,801,MANOR ROAD,801 MANOR ROAD,STATEN ISLAND,NY,10314,5108963,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6072277073003,-74.1199649203205
TODT HILL,42,2,STATEN ISLAND,791,MANOR ROAD,791 MANOR ROAD,STATEN ISLAND,NY,10314,5108963,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6074292478002,-74.1203078429894
TODT HILL,42,3,STATEN ISLAND,275,WESTWOOD AVENUE,275 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108964,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6066352278152,-74.1201585205879
TODT HILL,42,3,STATEN ISLAND,289,WESTWOOD AVENUE,289 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108964,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6067531518832,-74.1205698005758
TODT HILL,42,4,STATEN ISLAND,247,WESTWOOD AVENUE,247 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108965,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6068535970473,-74.1189589247459
TODT HILL,42,4,STATEN ISLAND,263,WESTWOOD AVENUE,263 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108965,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.607065604659,-74.1192835917076
TODT HILL,42,5,STATEN ISLAND,231,WESTWOOD AVENUE,231 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108962,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6070794686683,-74.1186244735288
TODT HILL,42,5,STATEN ISLAND,235,WESTWOOD AVENUE,235 WESTWOOD AVENUE,STATEN ISLAND,NY,10314,5108962,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6073542007152,-74.1188853077576
TODT HILL,42,6,STATEN ISLAND,34,LA GUARDIA AVENUE,34 LA GUARDIA AVENUE,STATEN ISLAND,NY,10314,5108961,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6078807194039,-74.1190137620451
TODT HILL,42,6,STATEN ISLAND,204,SCHMIDTS LANE,204 SCHMIDTS LANE,STATEN ISLAND,NY,10314,5108961,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6081624456454,-74.1192426408543
TODT HILL,42,7,STATEN ISLAND,20,LA GUARDIA AVENUE,20 LA GUARDIA AVENUE,STATEN ISLAND,NY,10314,5108960,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6084942762265,-74.1185559948202
TODT HILL,42,7,STATEN ISLAND,176,SCHMIDTS LANE,176 SCHMIDTS LANE,STATEN ISLAND,NY,10314,5108960,706,1,5007060001,173,SI05,New Springville-Bloomfield-Travis,2,49,63,24,11,40.6088283418211,-74.1186662100187
TOMPKINS,131,1,BROOKLYN,65,TOMPKINS AVENUE,65 TOMPKINS AVENUE,BROOKLYN,NY,11206,3324248,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6974650022392,-73.9464239267646
TOMPKINS,131,2,BROOKLYN,744,PARK AVENUE,744 PARK AVENUE,BROOKLYN,NY,11206,3324253,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6974890368096,-73.9453643930761
TOMPKINS,131,2,BROOKLYN,760,PARK AVENUE,760 PARK AVENUE,BROOKLYN,NY,11206,3324253,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6978661342212,-73.9453239091985
TOMPKINS,131,3,BROOKLYN,196,THROOP AVENUE,196 THROOP AVENUE,BROOKLYN,NY,11206,3324254,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6977934913691,-73.944119558772
TOMPKINS,131,4,BROOKLYN,200,THROOP AVENUE,200 THROOP AVENUE,BROOKLYN,NY,11206,3324255,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6971336509458,-73.9445053306123
TOMPKINS,131,4,BROOKLYN,212,THROOP AVENUE,212 THROOP AVENUE,BROOKLYN,NY,11206,3324255,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6971238849327,-73.9440701134966
TOMPKINS,131,5,BROOKLYN,220,THROOP AVENUE,220 THROOP AVENUE,BROOKLYN,NY,11206,3324251,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6964628149826,-73.9438555292058
TOMPKINS,131,6,BROOKLYN,921,MYRTLE AVENUE,921 MYRTLE AVENUE,BROOKLYN,NY,11206,3324250,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6962310469468,-73.9451092293678
TOMPKINS,131,6,BROOKLYN,919,MYRTLE AVENUE,919 MYRTLE AVENUE,BROOKLYN,NY,11206,3324250,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6963941466714,-73.9451559645116
TOMPKINS,131,7,BROOKLYN,99,TOMPKINS AVENUE,99 TOMPKINS AVENUE,BROOKLYN,NY,11206,3324249,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6961170911479,-73.9461933992132
TOMPKINS,131,8,BROOKLYN,85,TOMPKINS AVENUE,85 TOMPKINS AVENUE,BROOKLYN,NY,11206,3324252,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6968372571073,-73.9458283831527
TOMPKINS,131,8,BROOKLYN,77,TOMPKINS AVENUE,77 TOMPKINS AVENUE,BROOKLYN,NY,11206,3324252,1740,1,3017400001,25902,BK75,Bedford,3,36,56,18,8,40.6968731355929,-73.9462669259502
TWIN PARKS EAST (SITE 9),287,1,BRONX,2070,CLINTON AVENUE,2070 CLINTON AVENUE,BRONX,NY,10457,2012652,3094,14,2030940014,371,BX17,East Tremont,6,15,79,33,15,40.8471160615418,-73.8879861549906
TWO BRIDGES URA (SITE 7),266,1,MANHATTAN,286,SOUTH STREET,286 SOUTH STREET,NEW YORK,NY,10002,1003142,245,1,1002450001,201,MN28,Lower East Side,3,1,65,26,7,40.710931466787,-73.9862887392608
UNION AVENUE-EAST 163RD STREET,342,1,BRONX,950,UNION AVENUE,950 UNION AVENUE,BRONX,NY,10459,2005015,2678,1,2026780001,12901,BX33,Longwood,3,17,79,32,15,40.8231021234124,-73.9015511918883
UNION AVENUE-EAST 166TH STREET,356,1,BRONX,1135,PROSPECT AVENUE,1135 PROSPECT AVENUE,BRONX,NY,10459,2091990,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.8265150076394,-73.8989716536845
UNION AVENUE-EAST 166TH STREET,356,2,BRONX,819,EAST 167TH STREET,819 EAST 167TH STREET,BRONX,NY,10459,2091991,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.8265789456181,-73.8994911142113
UNION AVENUE-EAST 166TH STREET,356,2,BRONX,817,EAST 167TH STREET,817 EAST 167TH STREET,BRONX,NY,10459,2091991,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.8266048829628,-73.8995980043233
UNION AVENUE-EAST 166TH STREET,356,2,BRONX,815,EAST 167TH STREET,815 EAST 167TH STREET,BRONX,NY,10459,2091991,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.826634537596,-73.8997340514622
UNION AVENUE-EAST 166TH STREET,356,2,BRONX,813,EAST 167TH STREET,813 EAST 167TH STREET,BRONX,NY,10459,2091991,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.826671584565,-73.8998798084522
UNION AVENUE-EAST 166TH STREET,356,2,BRONX,811,EAST 167TH STREET,811 EAST 167TH STREET,BRONX,NY,10459,2091991,2680,13,2026800013,131,BX33,Longwood,3,17,79,32,15,40.8266975384097,-73.9000061417409
UNION AVENUE-EAST 166TH STREET,356,3,BRONX,1104,UNION AVENUE,1104 UNION AVENUE,BRONX,NY,10459,2091986,2680,1,2026800001,131,BX33,Longwood,3,17,79,32,15,40.8265150182954,-73.9001761263306
UNION AVENUE-EAST 166TH STREET,356,3,BRONX,1102,UNION AVENUE,1102 UNION AVENUE,BRONX,NY,10459,2091986,2680,1,2026800001,131,BX33,Longwood,3,17,79,32,15,40.8264264381626,-73.9002102820838
UNION AVENUE-EAST 166TH STREET,356,3,BRONX,1100,UNION AVENUE,1100 UNION AVENUE,BRONX,NY,10459,2091986,2680,1,2026800001,131,BX33,Longwood,3,17,79,32,15,40.8263194029815,-73.9002493258149
UNION AVENUE-EAST 166TH STREET,356,3,BRONX,1098,UNION AVENUE,1098 UNION AVENUE,BRONX,NY,10459,2091986,2680,1,2026800001,131,BX33,Longwood,3,17,79,32,15,40.8262234438706,-73.9002883528226
